SymInit: Symbol-SearchPath: '.', symOptions: 530, UserName: 'dna11'
OS-Version: 10.0.22621 () 0x100-0x1
M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.exe:pcsx2-qtx64-avx2-dbg.exe (00007FF6874D0000), size: 387198976 (result: 0), SymType: 'PDB', PDB: 'M:\VS\pcsx2-emuinterop\bin\pcsx2-qtx64-avx2-dbg.pdb', fileVersion: 1.7.0.0
M:\VS\pcsx2-emuinterop\bin\Qt6Svgd.dll:Qt6Svgd.dll (00007FFBF7B00000), size: 1081344 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\Qt6Svgd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qtgad.dll:qtgad.dll (00007FFC0C210000), size: 131072 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qtgad.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qtiffd.dll:qtiffd.dll (00007FFBF7880000), size: 1073152 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qtiffd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qwbmpd.dll:qwbmpd.dll (00007FFC09EB0000), size: 122880 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qwbmpd.dll', fileVersion: 6.5.0.0
M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qwebpd.dll:qwebpd.dll (00007FFBE0F30000), size: 1433600 (result: 0), SymType: '-exported-', PDB: 'M:\VS\pcsx2-emuinterop\bin\QtPlugins\imageformats\qwebpd.dll', fileVersion: 6.5.0.0
C:\Windows\SYSTEM32\hid.dll:hid.dll (00007FFCD9240000), size: 57344 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\hid.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\DEVOBJ.dll:DEVOBJ.dll (00007FFCDA7F0000), size: 180224 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\DEVOBJ.dll', fileVersion: 10.0.22621.1344
C:\Windows\System32\WINTRUST.dll:WINTRUST.dll (00007FFCDB4A0000), size: 438272 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\WINTRUST.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\CRYPT32.dll:CRYPT32.dll (00007FFCDABD0000), size: 1470464 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\CRYPT32.dll', fileVersion: 10.0.22621.1992
C:\Windows\SYSTEM32\MSASN1.dll:MSASN1.dll (00007FFCDA7D0000), size: 73728 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\MSASN1.dll', fileVersion: 10.0.22621.819
C:\Windows\System32\dinput8.dll:dinput8.dll (00007FFC01E00000), size: 286720 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\dinput8.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\inputhost.dll:inputhost.dll (00007FFCC9260000), size: 2101248 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\inputhost.dll', fileVersion: 10.0.22621.1344
C:\Windows\SYSTEM32\CoreMessaging.dll:CoreMessaging.dll (00007FFCD77F0000), size: 1257472 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\CoreMessaging.dll', fileVersion: 10.0.22621.1635
C:\Windows\SYSTEM32\XInput1_4.dll:XInput1_4.dll (00007FFC3CF20000), size: 69632 (result: 0), SymType: '-nosymbols-', PDB: 'C:\Windows\SYSTEM32\XInput1_4.dll', fileVersion: 10.0.22621.1
C:\Windows\System32\Windows.Gaming.Input.dll:Windows.Gaming.Input.dll (00007FFCD1AD0000), size: 917504 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\Windows.Gaming.Input.dll', fileVersion: 10.0.22621.1778
C:\Windows\System32\twinapi.appcore.dll:twinapi.appcore.dll (00007FFCD17A0000), size: 2547712 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\twinapi.appcore.dll', fileVersion: 10.0.22621.1928
C:\Windows\System32\Windows.System.UserDeviceAssociation.dll:Windows.System.UserDeviceAssociation.dll (00007FFCD0920000), size: 114688 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\Windows.System.UserDeviceAssociation.dll', fileVersion: 10.0.22621.1
C:\Windows\System32\usermgrproxy.dll:usermgrproxy.dll (00007FFCD0790000), size: 450560 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\usermgrproxy.dll', fileVersion: 10.0.22621.1778
C:\Windows\system32\mswsock.dll:mswsock.dll (00007FFCDA090000), size: 430080 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\system32\mswsock.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\cryptnet.dll:cryptnet.dll (00007FFCD2FA0000), size: 204800 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\cryptnet.dll', fileVersion: 10.0.22621.1
C:\Windows\System32\imagehlp.dll:imagehlp.dll (00007FFCDD080000), size: 126976 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\imagehlp.dll', fileVersion: 10.0.22621.1
C:\Windows\system32\rsaenh.dll:rsaenh.dll (00007FFCD9B90000), size: 217088 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\system32\rsaenh.dll', fileVersion: 10.0.22621.1
C:\Windows\SYSTEM32\directxdatabasehelper.dll:directxdatabasehelper.dll (00007FFCD4650000), size: 294912 (result: 0), SymType: '-nosymbols-', PDB: 'C:\Windows\SYSTEM32\directxdatabasehelper.dll', fileVersion: 10.0.22621.1635
C:\Windows\system32\dataexchange.dll:dataexchange.dll (00007FFCB82D0000), size: 385024 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\system32\dataexchange.dll', fileVersion: 10.0.22621.608
C:\Windows\SYSTEM32\textinputframework.dll:textinputframework.dll (00007FFCBCDE0000), size: 1232896 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\SYSTEM32\textinputframework.dll', fileVersion: 10.0.22621.1928
